"","age","workclass","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income_class"
"24",43,"Private",7,"Married","Blue-Collar","Husband","White","Male",0,2042,40,"United-States","<=50K"
"33",45,"Private",13,"Not-Married","White-Collar","Own-child","White","Male",0,1408,40,"United-States","<=50K"
"53",47,"Private",15,"Married","Professional","Wife","White","Female",0,1902,60,"Latin-America",">50K"
"94",30,"Private",9,"Married","Sales","Wife","Asian","Female",0,1573,35,"Euro_2","<=50K"
"97",48,"Self-Employed",16,"Married","Professional","Husband","White","Male",0,1902,60,"United-States",">50K"
"113",56,"Self-Employed",9,"Married","Service","Husband","White","Male",0,1887,50,"British-Commonwealth",">50K"
"127",20,"Private",10,"Never-Married","Admin","Own-child","White","Female",0,1719,28,"United-States","<=50K"
"132",24,"Private",9,"Never-Married","Service","Not-in-family","White","Female",0,1762,40,"United-States","<=50K"
"144",45,"Private",11,"Never-Married","Professional","Not-in-family","White","Female",0,1564,40,"United-States",">50K"
"149",64,"Private",7,"Married","Blue-Collar","Husband","White","Male",0,2179,40,"United-States","<=50K"
"158",71,"Self-Employed",10,"Not-Married","Sales","Unmarried","Black","Male",0,1816,2,"United-States","<=50K"
"171",27,"Private",9,"Never-Married","Service","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"173",51,"Private",10,"Married","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"201",26,"Private",14,"Never-Married","Professional","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
"204",42,"Other-Govt",10,"Never-Married","Professional","Not-in-family","White","Female",0,1340,40,"United-States","<=50K"
"223",90,"Private",9,"Never-Married","Service","Not-in-family","Black","Male",0,2206,40,"United-States","<=50K"
"245",38,"Private",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"249",40,"Private",12,"Married","Other-Occupations","Husband","White","Male",0,1977,60,"United-States",">50K"
"322",43,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1485,50,"United-States","<=50K"
"328",43,"Private",10,"Married","Professional","Wife","White","Female",0,1887,50,"United-States",">50K"
"364",43,"Private",13,"Not-Married","White-Collar","Not-in-family","White","Male",0,1564,45,"United-States",">50K"
"382",46,"Private",3,"Not-Married","Blue-Collar","Not-in-family","White","Female",0,2339,45,"United-States","<=50K"
"388",44,"Private",10,"Married","Admin","Wife","White","Female",0,2415,6,"United-States",">50K"
"405",28,"Private",4,"Married","Blue-Collar","Husband","Other","Male",0,2179,40,"Latin-America","<=50K"
"406",41,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,65,"United-States",">50K"
"409",28,"Private",10,"Married","White-Collar","Wife","White","Female",0,1887,40,"United-States",">50K"
"427",36,"Federal-Govt",14,"Never-Married","Professional","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"435",27,"Private",10,"Never-Married","Blue-Collar","Own-child","Asian","Male",0,1980,40,"SE-Asia","<=50K"
"469",49,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,45,"United-States",">50K"
"511",49,"Private",11,"Not-Married","Blue-Collar","Unmarried","White","Male",0,1380,42,"United-States","<=50K"
"574",37,"Private",11,"Married","Blue-Collar","Husband","White","Male",0,1977,40,"United-States",">50K"
"589",52,"Private",6,"Married","Blue-Collar","Husband","White","Male",0,1887,47,"United-States",">50K"
"598",42,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1902,50,"United-States",">50K"
"669",20,"Private",7,"Not-Married","Blue-Collar","Own-child","Asian","Female",0,1762,40,"Euro_2","<=50K"
"670",24,"Private",5,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,1721,40,"United-States","<=50K"
"698",31,"Private",14,"Married","Other-Occupations","Husband","White","Male",0,1902,40,"United-States",">50K"
"702",31,"Private",13,"Widowed","Sales","Unmarried","White","Female",0,1380,40,"Other","<=50K"
"722",41,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2051,60,"United-States","<=50K"
"733",26,"Private",11,"Married","Admin","Husband","White","Male",0,2377,45,"United-States","<=50K"
"782",28,"Private",11,"Never-Married","Blue-Collar","Not-in-family","White","Female",0,1669,42,"United-States","<=50K"
"787",61,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,2352,50,"United-States","<=50K"
"800",43,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,40,"British-Commonwealth",">50K"
"802",24,"Private",9,"Never-Married","Service","Own-child","Black","Male",0,1721,30,"United-States","<=50K"
"825",32,"Private",9,"Married","White-Collar","Husband","White","Male",0,1672,60,"United-States","<=50K"
"826",57,"Private",9,"Widowed","Blue-Collar","Unmarried","White","Male",0,653,42,"United-States",">50K"
"874",51,"Self-Employed",13,"Married","Sales","Husband","Asian","Male",0,2415,40,"China",">50K"
"938",41,"Private",15,"Married","Professional","Husband","White","Male",0,2415,40,"United-States",">50K"
"948",36,"Self-Employed",13,"Married","White-Collar","Wife","White","Female",0,1977,45,"United-States",">50K"
"973",67,"Private",13,"Widowed","White-Collar","Not-in-family","White","Male",0,2392,40,"United-States",">50K"
"991",46,"Private",13,"Never-Married","Sales","Not-in-family","White","Male",0,1504,40,"United-States","<=50K"
"1002",50,"Private",16,"Married","Professional","Husband","White","Male",0,1902,65,"United-States",">50K"
"1032",20,"Other-Govt",12,"Never-Married","Service","Own-child","White","Male",0,1719,20,"United-States","<=50K"
"1036",19,"Private",9,"Never-Married","Blue-Collar","Unmarried","White","Male",0,2001,40,"United-States","<=50K"
"1050",36,"Private",13,"Married","Professional","Husband","White","Male",0,1902,50,"United-States",">50K"
"1059",49,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"1067",35,"Private",15,"Married","Professional","Husband","White","Male",0,1977,80,"United-States",">50K"
"1072",38,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"1074",48,"Other-Govt",16,"Married","Professional","Wife","White","Female",0,1902,46,"United-States",">50K"
"1077",27,"Private",13,"Never-Married","Sales","Not-in-family","Black","Female",0,1590,40,"United-States","<=50K"
"1099",29,"Self-Employed",9,"Married","Sales","Wife","White","Female",0,1977,25,"United-States",">50K"
"1103",39,"Self-Employed",5,"Married","White-Collar","Husband","White","Male",0,1651,40,"Latin-America","<=50K"
"1116",60,"Self-Employed",11,"Married","Blue-Collar","Husband","White","Male",0,2415,70,"United-States",">50K"
"1165",50,"Private",13,"Married","Professional","Wife","White","Female",0,1977,40,"United-States",">50K"
"1231",46,"Private",13,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"1255",28,"Self-Employed",10,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,1762,40,"United-States","<=50K"
"1267",38,"Private",13,"Married","Professional","Husband","White","Male",0,1887,40,"United-States",">50K"
"1277",46,"Private",13,"Married","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"1281",52,"Private",9,"Never-Married","Sales","Not-in-family","White","Male",0,1876,50,"United-States","<=50K"
"1296",26,"Private",3,"Married","Blue-Collar","Husband","White","Male",0,1628,50,"United-States","<=50K"
"1356",61,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1848,60,"United-States",">50K"
"1388",40,"Self-Employed",10,"Not-Married","White-Collar","Other-relative","White","Male",0,1564,70,"Other",">50K"
"1392",40,"Other-Govt",4,"Married","Blue-Collar","Husband","Black","Male",0,1887,40,"Latin-America",">50K"
"1393",59,"Private",9,"Not-Married","Sales","Unmarried","White","Female",0,1762,30,"United-States","<=50K"
"1430",57,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"1441",50,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1672,60,"United-States","<=50K"
"1445",56,"Self-Employed",9,"Married","Service","Husband","White","Male",0,1902,60,"United-States",">50K"
"1467",35,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,2051,45,"United-States","<=50K"
"1487",30,"Private",9,"Never-Married","Admin","Unmarried","White","Male",0,2001,42,"United-States","<=50K"
"1498",35,"Private",13,"Not-Married","Sales","Not-in-family","White","Female",0,1980,65,"United-States","<=50K"
"1519",25,"Private",13,"Never-Married","White-Collar","Own-child","White","Male",0,1340,40,"United-States","<=50K"
"1525",26,"Other-Govt",13,"Never-Married","Professional","Not-in-family","White","Male",0,2339,55,"United-States","<=50K"
"1542",62,"Private",15,"Married","Professional","Husband","White","Male",0,1628,70,"United-States","<=50K"
"1549",41,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"1572",44,"Private",12,"Married","Blue-Collar","Husband","White","Male",0,1848,40,"United-States",">50K"
"1622",44,"Self-Employed",9,"Married","White-Collar","Husband","White","Male",0,1977,45,"United-States",">50K"
"1629",45,"Private",9,"Married","Blue-Collar","Wife","White","Female",0,1740,40,"United-States","<=50K"
"1661",49,"Other-Govt",9,"Married","Blue-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"1686",37,"Private",9,"Married","White-Collar","Husband","White","Male",0,1902,45,"United-States",">50K"
"1688",37,"Private",9,"Married","White-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"1696",51,"Private",9,"Married","Blue-Collar","Husband","Black","Male",0,1902,40,"United-States",">50K"
"1710",43,"Private",14,"Married","White-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"1738",21,"Private",9,"Never-Married","Service","Not-in-family","White","Female",0,1719,16,"United-States","<=50K"
"1778",59,"Other-Govt",9,"Widowed","Blue-Collar","Unmarried","White","Male",0,2339,40,"United-States","<=50K"
"1817",46,"Other-Govt",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States","<=50K"
"1842",34,"Other-Govt",10,"Married","Blue-Collar","Husband","White","Male",0,1579,40,"United-States","<=50K"
"1901",29,"Private",10,"Never-Married","Service","Not-in-family","Other","Male",0,1590,40,"British-Commonwealth","<=50K"
"1916",42,"Other-Govt",14,"Married","White-Collar","Husband","White","Male",0,1902,60,"United-States",">50K"
"1927",30,"Private",13,"Never-Married","Sales","Not-in-family","White","Male",0,1741,48,"United-States","<=50K"
"1928",45,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1628,45,"United-States","<=50K"
"1946",37,"Private",14,"Married","White-Collar","Husband","White","Male",0,2415,60,"United-States",">50K"
"2011",31,"Private",13,"Never-Married","White-Collar","Not-in-family","White","Female",0,1408,40,"United-States","<=50K"
"2015",30,"Private",13,"Married","Professional","Husband","White","Male",0,1740,45,"United-States","<=50K"
"2018",57,"Federal-Govt",9,"Never-Married","Admin","Not-in-family","White","Male",0,2258,40,"United-States","<=50K"
"2031",32,"Private",12,"Married","White-Collar","Wife","White","Female",0,1485,40,"United-States",">50K"
"2049",28,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1848,42,"United-States",">50K"
"2064",42,"Other-Govt",14,"Married","White-Collar","Husband","White","Male",0,1977,40,"United-States",">50K"
